pattern_id,pattern_name,keyword1,operator1,keyword2,operator2,keyword3,weight,description
P001,반도체_중국어,반도체,AND,중국어필수,"","",30,반도체 + 중국어 필수
P002,OLED_중국어,OLED,AND,중국어필수,"","",30,OLED + 중국어 필수
P003,이차전지_중국어,이차전지,AND,중국어,"","",28,이차전지 + 중국어
P004,반도체_해외협업,반도체,AND,해외협업,"","",28,반도체 + 해외 협업
P005,반도체_기술이전,반도체,AND,기술이전,"","",35,반도체 + 기술 이전 (고위험)
P006,디스플레이_파견,디스플레이,AND,파견,"","",30,디스플레이 + 파견
P007,기술지원_리튬,기술지원,AND,리튬이온,"","",28,기술 지원 + 리튬이온
P008,기술지원_이차전지,기술지원,AND,이차전지,"","",28,기술 지원 + 이차전지
P009,글로벌R&D_중국,글로벌R&D,AND,중국,"","",30,글로벌 R&D + 중국
P010,R&D센터_해외,R&D센터,AND,해외,"","",28,R&D센터 + 해외
P011,대기업경력_중국어,대기업,AND,중국어,"","",25,대기업 경력 + 중국어
P012,삼성경력_중국,삼성,AND,중국근무,"","",30,삼성 경력 + 중국 근무
P013,LG경력_중국,LG,AND,중국근무,"","",30,LG 경력 + 중국 근무
P014,하이닉스_해외,하이닉스,AND,해외,"","",28,하이닉스 + 해외
P015,반도체_중국_기술이전,반도체,AND,중국,AND,기술이전,40,반도체 + 중국 + 기술이전 (최고위험)
P016,OLED_해외_R&D,OLED,AND,해외,AND,R&D,35,OLED + 해외 + R&D
P017,이차전지_기술이전_파견,이차전지,AND,기술이전,AND,파견,38,이차전지 + 기술이전 + 파견
P018,원자력_해외_협업,원자력,AND,해외협업,"","",32,원자력 + 해외 협업
P019,항공우주_기술이전,항공우주,AND,기술이전,"","",35,항공우주 + 기술이전
P020,방산_해외,방산,AND,해외,"","",33,방산 + 해외
P021,국내외근무_외국인,국내외근무,AND,외국인지원,"","",28,국내외 근무 + 외국인 지원
P022,합작회사_기술,합작회사,AND,기술,"","",30,합작회사 + 기술
P023,법인설립_R&D,법인설립,AND,R&D,"","",32,법인 설립 + R&D
P024,기술제휴_파견,기술제휴,AND,파견,"","",32,기술 제휴 + 파견
P025,글로벌연구소_기술이전,글로벌연구소,AND,기술이전,"","",35,글로벌 연구소 + 기술이전
